ligando,MolWt,ExactMolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,NumHeavyAtoms,NumAtoms,FractionCSP3,NumRings,FormalCharge,Chi0n,Chi1n,Kappa1,Kappa2,LabuteASA,Asphericity,Eccentricity,InertialShapeFactor,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex,y_1ao6,y_1hzh,y_2hav,y_3ghg
1-Butanethiol,90.19099999999996,90.05032132,1.7163,0.0,1,1,3,5,15,1.0,0,0,12.408248290463863,5.862372435695795,0.4916188129029124,4.349999999999999,52.719744903903525,0.5846479433929394,0.9862456555791664,0.0164685181983824,0.1652861362946694,0.904700283613982,54.93513579763599,300.68966490867587,332.3638450819523,1.952963094911496,0.2961851744192379,-3.07,-2.759,-2.821,-2.861
1-Dodecanethiol,202.40700000000024,202.175521832,4.837100000000006,0.0,1,1,11,13,39,1.0,0,0,32.40824829046386,15.862372435695796,1.384472852628555,12.35,126.11880982176126,0.5792845441229384,0.9858366265632472,0.0018200658839408,0.167708514173837,0.8849369646590651,486.2115006204973,2565.561633295746,2899.146194310197,3.8341073610708274,0.1893095371039852,-4.709,-4.525,-4.842,-4.179
1-Hexanethiol,118.24499999999992,118.081621448,2.496500000000001,0.0,1,1,5,7,21,1.0,0,0,17.408248290463863,8.362372435695795,0.7156587120960582,6.35,71.06951113336798,0.7377993100359836,0.995297736904022,0.0114703252484954,0.0968628665368295,0.9449953079741276,82.38609520667977,803.7597502136693,850.5436412554919,2.7099089354898807,0.1978727753085032,-3.657,-3.382,-3.479,-3.182
11-Mercaptoundecanesulfonic_acid_MUS,268.44399999999985,268.1166866280004,4.395700000000005,60.03,2,2,13,16,40,1.0,0,0,31.54124145231932,15.22474487139159,2.5690221760011185,10.716297452503817,140.09950659921066,0.6387190319678226,0.9902102704709962,0.0010428186791302,0.1395837392168462,0.8961541537057167,859.357596522093,5517.239213984963,6156.573834055719,4.831573914244436,0.1326952484004227,-5.275,-5.009,-5.483,-5.2
11-Mercaptoundecanoic_acid_MUA,218.3620000000002,218.134050944,3.511700000000004,37.3,2,3,11,14,36,0.9090909090909092,0,0,28.72474487139159,13.92886901662352,1.873382934999098,10.898003120124804,123.17641181706044,0.7416643839831054,0.9954261293955888,0.0025881157683204,0.0955343965099295,0.9591004446773038,370.57864892176906,3720.35790200278,3879.0075874216914,4.271929817672602,0.1427671382833186,-5.165,-4.506,-5.229,-4.747
2-Mercaptosuccinic_acid,150.15500000000003,149.998679672,-0.2984,74.6,3,5,4,9,15,0.5,0,0,10.041241452319316,4.495365597551247,2.4943628247787246,3.341930325442243,65.18471512396627,0.1912276398293744,0.8968077245768434,0.0028168372207865,0.4424205071414573,0.7856012209392045,278.8947885031987,495.2304037110109,630.3839537303054,2.162605926486685,0.4406479710769199,-4.27,-3.997,-4.604,-3.709
3-Mercapto-1-propanesulfonic_acid_MPS,156.2280000000001,155.991486116,1.2749,60.03,2,2,5,8,16,1.0,0,0,11.541241452319316,5.224744871391589,2.0309105350495438,3.575937953547972,66.70044168135288,0.5493087519879288,0.982673582636232,0.0060079991690009,0.1853446249257655,0.9555628768391397,159.04843691881408,819.9902317090766,858.1227374816849,2.4248184195022917,0.3038778445019297,-3.585,-3.627,-3.929,-3.535
3-Mercaptopropionic_acid,106.14599999999996,106.008850432,0.3909000000000001,37.3,2,3,3,6,12,0.6666666666666666,0,0,8.72474487139159,3.928869016623521,1.1549482884095654,3.0274688796680502,49.77734689920266,0.6873676811201163,0.99301764386016,0.0157808456289417,0.1179659229710715,0.9007693095696084,57.0799138873533,435.8532814193509,483.8678191951317,2.1450441565223173,0.2309999986605078,-3.343,-3.189,-3.557,-3.109
4-Aminothiophenol,125.19599999999996,125.029920224,1.5575,26.02,2,2,2,8,15,0.0,1,0,10.85546188596382,5.23040642444569,1.448214249221175,2.092227094578511,63.55816311336705,0.6171243696694259,0.988687013840064,0.0093598832264369,0.1499932953968856,0.8563159161506224,91.48788456376896,522.3068903153979,609.9464934195224,2.2107242668404967,0.0392138282779952,-4.52,-4.245,-4.056,-3.797
4-Mercaptobenzoic_acid,154.19000000000003,154.008850432,1.6735,37.3,2,3,2,10,16,0.0,1,0,10.72474487139159,5.178869016623521,2.5833595518334085,2.7488332358362486,72.10455687647344,0.6673132009702915,0.9918985089906664,0.006618645642894,0.1270328613473406,0.8729724802804897,131.8959387435603,906.391649866586,1038.2820424938925,2.5949568889063594,8.246651581814602e-06,-5.176,-4.841,-5.001,-4.976
5-Fluorouracil,146.07700000000003,146.012770176,-1.0252,75.09,2,3,1,10,13,0.0,1,0,7.497136535400732,3.531292363605235,3.5469994646208067,1.9769273239524412,57.65840038460413,0.2797256378542663,0.9163150506550009,0.0023686892964446,0.4004581475549266,0.5995420671828599,253.11131691385071,378.943175701256,632.0543568891532,2.080110074623116,5.882502663610161e-07,-5.307,-4.926,-5.327,-5.21
6-Mercaptohexanoic_acid,148.2270000000001,148.055800624,1.5612,37.3,2,3,6,9,21,0.8333333333333334,0,0,16.22474487139159,7.678869016623521,1.3730134479742506,5.947877237851663,77.30199624339932,0.3514005607198205,0.9536885184014724,0.0032535565009161,0.3007959605267404,0.8410441025377956,258.4999222546052,722.781764548952,859.3862823221817,2.491776410982925,0.3756271366850701,-3.99,-4.096,-4.177,-3.881
Arginine,174.20400000000012,174.111675688,-1.338429999999999,125.22,5,4,6,12,26,0.6666666666666666,0,0,19.60535096292756,9.117812142677373,1.7923819188520356,5.363379355687048,90.5393090828573,0.7361387212079524,0.995224871139522,0.0048822616307883,0.0976086874480032,0.9481344925651348,194.19985331921595,1886.385158914512,1989.5755019005608,3.4179185497009343,0.1454915288352558,-5.009,-5.494,-5.406,-4.538
Biotin,244.3160000000001,244.088163372,0.7968000000000001,78.43,3,4,5,16,32,0.8,2,0,23.52742035285537,11.717723398623354,2.909188028838725,4.9476486864612665,121.03449162049432,0.5491280087507184,0.9830376785308996,0.001754102803545,0.1834037147622137,0.9128088844432012,520.3850553105727,2589.980810556751,2837.374673600594,3.4888721493670984,0.2281565127799922,-6.604,-6.402,-6.587,-5.403
Citric_acid,192.12300000000005,192.027002596,-1.2484999999999995,132.13,4,7,6,13,21,0.5,0,0,13.857738033247042,6.3118621784789735,3.623261379453199,3.853986625290123,83.81190794257938,0.210494654190264,0.9070795425908852,0.0017704177418538,0.4209592657408918,0.7983194329010593,450.9215051500268,855.1406978551587,1071.176101460556,2.487320115549745,0.3939410168482887,-4.765,-5.439,-5.555,-4.77
Curcumin,368.38499999999976,368.1259883600005,3.3699000000000026,93.06000000000002,2,6,10,27,47,0.1428571428571428,2,0,32.94948974278318,16.44948974278318,5.986990856843829,9.238837190939822,184.805122973866,0.7615809687863934,0.9961565907027272,0.0009057678071703,0.0875902209126081,0.9707587707958149,1071.7523443767743,11878.186601022362,12235.981747849455,5.846728789778548,0.1211230114511974,-7.742,-7.302,-8.929,-7.493
Cysteamine_2-aminoethanethiol,77.15199999999997,77.029920224,-0.1250999999999998,26.02,2,2,3,4,11,1.0,0,0,8.855461885963821,3.9804064244456896,0.4442382269904538,3.3099999999999983,41.23095313609625,0.4567144996692571,0.9724364126434936,0.0202324819146774,0.233168229750653,0.8527718914701212,42.14865457764159,154.15130923082168,180.76499797041296,1.563217818895863,0.3383801244894331,-2.571,-2.616,-2.68,-2.44
D-Galactose,180.1560000000001,180.063388104,-3.2214000000000005,110.38,5,6,6,12,24,1.0,1,0,17.44948974278318,8.220110468942837,2.411787232595313,3.648916103234773,85.93584172942023,0.1244836842322806,0.8462742285694842,0.0023579878418863,0.5327475293787145,0.919206002583091,389.8264385654024,672.609036240466,731.728289796134,2.2314732111333577,0.5087152045722942,-4.806,-5.085,-5.792,-4.424
D-Glucose,180.1560000000001,180.063388104,-3.2214000000000005,110.38,5,6,6,12,24,1.0,1,0,17.44948974278318,8.220110468942837,2.411787232595313,3.648916103234773,85.93584172942023,0.2234877476857359,0.9133710804614948,0.0022900042041652,0.4071280749059213,0.824111646065255,359.87342056678347,728.4584269138358,883.9317225910854,2.339608083920114,0.3870450329174273,-4.905,-5.079,-5.661,-4.901
Dihydrolipoic_acid_DHLA,220.3590000000001,220.059171752,2.827600000000001,37.3,1,4,6,13,29,0.8888888888888888,1,0,22.132993161855453,10.882993161855453,2.292419389887445,6.59820436720464,110.4211309532556,0.5802065864738182,0.9856385796344476,0.0024859091258141,0.1688685593477618,0.9455755401751356,380.3741377173006,2129.89606904854,2252.4864260491013,3.2873716157780684,0.2726576528478218,-5.228,-5.111,-5.181,-4.616
Dithiothreitol_DTT,182.26600000000008,182.00713618,-0.5358999999999999,60.69,3,5,5,10,20,1.0,1,0,14.541241452319316,6.90361388801511,2.2925876311929745,3.824199539737246,82.1318254152651,0.2223068413673601,0.911166700483724,0.002052355229819,0.4120379156456401,0.7599367846393188,370.27546381739495,682.9127483651781,898.6441532624351,2.3139471121602764,0.3486784147389652,-4.1,-4.448,-4.512,-4.046
Doxorubicin_proxy_daunorubicin_aglycone,356.3299999999998,356.0896028520004,0.7021999999999995,124.29000000000002,4,7,5,26,42,0.2631578947368421,4,0,28.35773803324704,14.515986323710903,6.365497260791805,5.55127820312456,170.47116329285117,0.5195424984157235,0.9799171676916112,0.0007452879976415,0.199404976024297,0.8151498029461165,1093.7379986335443,4471.103639621206,5485.008551142049,3.93764902281062,0.0476105677242346,-8.36,-7.94,-8.502,-7.965
Folic_acid,586.5180000000014,586.1771890320008,-1.4904999999999935,288.79,8,13,14,42,68,0.2916666666666667,3,0,45.6601916686383,22.52697666071031,10.876580172039011,13.505065046834044,271.6329019718076,0.5169365746834932,0.9797422752520067,0.0002768195781659,0.2002625129274591,0.9072582828167504,3277.435392495883,14847.913185408486,16365.695928738622,5.422474307301128,0.1813124595418209,-9.21,-8.75,-10.09,-7.912
Gemcitabine,281.18999999999977,281.0623404600003,-1.1495000000000002,110.6,3,6,5,19,29,0.5555555555555556,2,0,18.608527367383008,9.140131994101012,5.770704907477396,4.47217001529447,117.9387405085825,0.3837358317502708,0.9603352292945708,0.0012210656002787,0.2788480722109152,0.8647725317022794,708.2113618669227,2196.3276544323357,2539.774997372926,3.111405745934883,0.1797693321909345,-6.74,-6.985,-7.323,-6.097
Glutathione_GSH,307.3279999999997,307.08380626400043,-2.206099999999998,158.82,6,8,11,20,37,0.6,0,0,26.199378819746915,12.310502258764837,4.598182993356211,9.15071374245247,143.82392910546153,0.6247059972773082,0.9891312661868846,0.0012136081047458,0.1470351599160231,0.9434449964841573,777.3885101745998,4988.081086642017,5287.092628855527,4.240483929246642,0.1367537794173905,-5.991,-5.569,-6.666,-5.348
HEPES,250.36400000000015,250.135113564,1.3711,66.51,1,3,7,16,38,1.0,1,0,29.52742035285537,14.45401322219567,2.5468813179678063,6.1826982557872885,130.60249714014995,0.5747155041546312,0.9853992263709396,0.0017684857355645,0.1702596977195542,0.907494362491453,513.1476857526044,2735.1078275322307,3013.911645713381,3.5364000621274267,0.2103821129757224,-5.595,-5.747,-5.867,-5.338
Histidine,155.15700000000007,155.069476528,-0.6359000000000001,92.0,3,4,4,11,20,0.3333333333333333,1,0,14.1581373674276,6.776171356177496,2.071155482694469,3.156503765422208,76.15625907025266,0.5741599718567401,0.9851346343034536,0.0055518157326405,0.17178402805791,0.9427490230155808,169.8091342392569,931.9108255466808,988.503623759554,2.595348526336026,0.3290649731355813,-4.95,-5.211,-5.484,-4.574
L-Cysteine,121.16099999999996,121.019749464,-0.6719000000000002,63.32000000000001,3,4,4,7,14,0.6666666666666666,0,0,10.171958466891548,4.546903005373416,1.3868313900093312,2.872924704797209,56.638321360859855,0.1730248138726565,0.8857705335398267,0.0041807408977621,0.4641234339187914,0.778285590151479,186.1597284271027,312.17004682999385,401.0996101948074,1.9265802940362469,0.5089813050557327,-3.76,-3.566,-3.864,-3.351
L-Homocysteine,149.2150000000001,149.051049592,0.1083,63.32000000000001,3,4,6,9,20,0.8,0,0,15.171958466891546,7.046903005373416,1.506824018028378,4.639273249931248,74.9880875903243,0.5051760662557064,0.9784502520996304,0.004522530183436,0.2064826970139858,0.9013193660144794,199.2953787938451,869.9459425015018,965.1916682410732,2.610961423972435,0.370487356118157,-3.928,-4.206,-4.41,-3.825
Lipoic_acid_thioctic_acid,220.3590000000001,220.059171752,3.175200000000002,37.3,1,4,6,13,29,0.8888888888888888,1,0,22.132993161855453,10.891411538058255,2.292419389887445,6.59820436720464,109.82109303960527,0.7095392191593317,0.993947373005398,0.0032954649796541,0.1098572696532553,0.9779209721772064,296.7474933627813,2641.5693573709814,2701.209435656023,3.577181024944019,0.2104059379957552,-5.395,-5.311,-5.252,-4.704
Lysine,146.1900000000001,146.105527688,-0.4727000000000004,89.34,3,4,7,10,24,0.8333333333333334,0,0,18.710923771927643,8.802564558427516,1.3185036207983014,5.19660435670694,80.18798263550777,0.5478104687073937,0.9828253534347828,0.0047428922548443,0.184538138729624,0.9251872275342942,195.06815205201323,977.9797499836196,1057.0614475407558,2.7617810689128617,0.2552089043192135,-4.592,-4.851,-4.766,-4.158
Mannose,180.1560000000001,180.063388104,-3.2214000000000005,110.38,5,6,6,12,24,1.0,1,0,17.44948974278318,8.220110468942837,2.411787232595313,3.648916103234773,85.93584172942023,0.2431597237851626,0.9173744044926014,0.0018767071783634,0.398025378565042,0.7177714484911846,382.4632083078049,689.7077066075042,960.9015628266174,2.375401724700458,0.3076058257617874,-4.721,-5.292,-5.609,-4.9
Mercaptoethanol_2-mercaptoethanol,78.13599999999997,78.013935812,-0.0915,20.23,2,2,3,4,10,1.0,0,0,7.816496580927726,3.4747448713915894,0.5447959818219784,3.3099999999999983,39.25088268476229,0.7668885793910445,0.9963642547767356,0.0504287479492683,0.0851954916835395,0.9612595064143784,19.06173651944347,215.0732987860832,223.74114102479385,1.7117228120289028,0.3607680895434875,-2.571,-2.626,-2.738,-2.187
Methionine,149.2150000000001,149.051049592,0.1513999999999997,63.32000000000001,2,4,5,9,20,0.8,0,0,15.171958466891546,7.092778860141485,1.506824018028378,4.639273249931248,74.27523508448357,0.4577058456083925,0.9725105312798722,0.0040963077995574,0.2328588983692502,0.8793245679411723,214.66271846958804,810.6119349239098,921.8574852535456,2.5543268769836915,0.2415587896305008,-3.854,-4.194,-4.401,-3.829
Methotrexate,422.4019999999998,422.1662304240005,-2.177909999999996,220.33,5,10,10,30,52,0.4375,2,0,36.027198506782845,17.60501819381877,6.852282585019872,9.105778638434312,201.85079184468984,0.6676289625132008,0.9919181325866736,0.000635184897133,0.1268795422665369,0.9304793379020848,1464.8952487721988,10742.904150064516,11545.559060221714,5.302547048138705,0.1307833996846965,-7.615,-7.407,-8.247,-7.009
mPEG-thiol_n_3_methyl-capped,180.26900000000012,180.082015372,0.5958000000000001,27.69,1,4,9,11,27,1.0,0,0,21.132993161855453,10.087117307087384,1.7081831852280678,10.23,95.58502993662076,0.574296388551234,0.9853817909107354,0.0027051521343561,0.1703605768408631,0.902094682914698,333.47280970185165,1765.8078770751667,1957.4529265262736,3.354383573498432,0.2454617813688341,-3.745,-3.471,-4.006,-3.096
mPEG-thiol_n_6_methyl-capped,312.42799999999943,312.1606596160008,0.6456000000000004,55.38000000000001,1,7,18,20,48,1.0,0,0,37.357738033247045,18.06186217847897,3.3090797674690733,19.110000000000003,165.9749643135348,0.7624987997736643,0.9962333826767508,0.001094910231684,0.08671243994052,0.9443920821186582,862.5292327994401,9393.874496097904,9947.006835363967,5.686203162432181,0.0886432377931009,-4.282,-3.962,-4.626,-3.657
PEG-amine_n_3_proxy,177.24400000000017,177.136493468,0.0147999999999999,53.71000000000001,1,4,10,12,31,1.0,0,0,24.671958466891542,11.842778860141484,1.5624733880068136,10.840000000000002,100.78492498180422,0.6032165792476983,0.9877354943095475,0.0026081109293104,0.1561364572451728,0.8868074716990274,340.0190773072286,1931.204688491047,2177.70457525698,3.542639300661968,0.119018197882181,-4.153,-4.18,-4.513,-3.632
PEG-dithiol_n_3,226.3630000000001,226.069736436,0.8957999999999999,27.69,2,5,12,13,31,1.0,0,0,24.04124145231932,11.44948974278318,2.2981908436031366,12.580000000000002,115.59587558255896,0.171649681169801,0.8831101506329518,0.0009607777003021,0.4691657083046938,0.7515545264974332,782.2356058649981,1253.0598463805495,1667.290665150201,2.8597947587391768,0.3253843285109241,-3.649,-3.431,-4.13,-3.329
PEG-thiol_n_3,166.24200000000013,166.066365308,-0.0582999999999999,38.69,2,4,9,10,24,1.0,0,0,18.632993161855453,8.791241452319316,1.615030082487558,9.230000000000002,86.17750560270493,0.7368460808850907,0.9951978484530394,0.0061439130277221,0.0978838211066638,0.9708006045406706,158.01014763071765,1567.1266723057904,1614.2621512347207,3.1691936650475427,0.2677691704939773,-3.783,-3.581,-4.248,-3.186
PEG-thiol_n_4,210.29500000000016,210.092580056,-0.0417,47.92,2,5,12,13,31,1.0,0,0,24.04124145231932,11.44948974278318,2.150433320558621,12.19,109.64081706167624,0.3131446353055909,0.9401277482885312,0.0010622306790677,0.340822265848251,0.7027287709242135,661.5594755189512,1364.0449105273312,1941.068826217787,3.0710277469729625,0.1871151703798739,-4.114,-3.586,-4.264,-3.39
PEG-thiol_n_6,298.40099999999944,298.1450095520007,-0.008499999999999,66.38000000000001,2,7,18,19,45,1.0,0,0,34.857738033247045,16.765986323710905,3.221242883701897,18.11,156.56743997961894,0.8301436926155756,0.9981780780571748,0.0017594080316854,0.0603367589955301,0.965215201870956,548.6022483064005,8776.063525141453,9092.33869102982,5.555131727923191,0.0869748469969964,-3.933,-3.894,-4.643,-3.392
Polyethyleneimine_fragment_ethylenediamine,60.100000000000016,60.06874825599999,-1.0962,52.04,2,2,3,4,12,1.0,0,0,9.894427190999917,4.48606797749979,0.2802892833662064,2.92,37.25596506654744,0.660943645312819,0.991509289587016,0.0506622802756386,0.130035874521806,0.9369058934876828,18.49316470538341,133.24288443806805,142.21586753186514,1.5638169436474672,0.3258906705365449,-2.975,-2.94,-2.903,-2.935
PVP_monomer_N-vinyl-2-pyrrolidone,125.17099999999992,125.084063972,0.7948,20.31,0,2,1,9,20,0.5714285714285714,1,0,15.35546188596382,7.624944538481868,1.1565354701766093,2.6672700037699983,70.60950080058879,0.3668909269499064,0.956368755512589,0.0047879865283044,0.292162289625649,0.7788151346251372,162.6602602202688,433.60240852413904,556.7462536958049,2.146097631567669,0.255172634183865,-4.441,-4.531,-4.752,-4.263
RGD_peptide_Arg-Gly-Asp,346.34399999999965,346.1600824240005,-3.262729999999996,220.72,8,8,12,24,46,0.5833333333333334,0,0,33.132771315782925,15.631411396068792,4.814396910061463,10.77257933284937,168.55003371272667,0.2193353204578502,0.9075599731211385,0.0003755569409023,0.4199224871191808,0.7265712749349363,1934.6501044269223,3347.4301473346127,4607.16004446277,3.778440893388359,0.2428002495393799,-6.553,-6.305,-7.214,-5.404
SDS_dodecyl_sulfate_anion,265.3949999999999,265.1473552800003,4.680000000000004,68.93,0,1,12,17,42,1.0,0,0,33.04124145231931,16.120790811898594,2.6557426627037204,11.29007945572376,142.26933553000674,0.7812359714962298,0.9968086997201554,0.0020903617813736,0.0798274148536273,0.9794708439435912,468.5652276420635,5749.227628161609,5869.728194270491,4.77207494477756,0.1734319786311085,-5.268,-4.842,-5.888,-5.152
Sodium_citrate_citrate3-,189.099,189.0035275,-1.631,131.14,1,4,6,13,18,0.5,0,0,10.857738033247042,5.087117307087384,5.175713671318919,3.853986625290123,79.33698566769422,0.1615949180260436,0.8796475577983507,0.0018434383830031,0.4756260863949718,0.8251694741657585,447.6251996128465,776.5903955931129,941.1283619988988,2.392785852415252,0.5299365560885201,-4.811,-5.172,-5.775,-4.75
Tannic_acid_approx,280.1439999999999,279.9855317080001,-0.0306000000000003,151.32,3,9,3,20,24,0.0,3,0,13.174234614174768,6.674234614174768,8.04396899625805,3.63360480734488,111.9563429867668,0.3224036916808666,0.9410213402862756,0.0007753824961679,0.3383472138585176,0.6803608872247956,877.4519551153998,1764.412314413436,2593.3476593731098,3.056760925199851,0.0264641862582893,-7.531,-7.524,-8.327,-7.193
TAT_peptide_fragment_YGRKKK_6_aa,808.9830000000023,808.4919216280019,-3.5868300000000115,389.24,15,14,36,57,121,0.6388888888888888,1,0,91.04079776017426,44.18941566147788,10.01418041343424,28.3267126485116,423.58056352739743,0.4682964896301705,0.9733447239556446,0.0001495609158196,0.2293470042265863,0.93781017375055,6270.422781317524,25640.039632813838,27340.330005455748,6.05149091938168,0.2411899738741485,-7.4,-6.133,-8.079,-6.552
Thioacetic_acid,76.11999999999998,75.998285748,0.4626999999999999,17.07,1,2,0,4,8,0.5,0,0,5.816496580927726,2.5664965809277263,0.7439876299705358,1.3511258278145688,35.72155977414717,0.3269238846902,0.942781986988193,0.0135106556552976,0.3334098454014138,0.6871323411871646,50.85854889046272,104.81560232995244,152.54063307347988,1.4228605744157956,0.2220594287444899,-2.705,-2.524,-2.728,-2.48
Thioglycolic_acid_mercaptoacetic_acid,92.11899999999996,91.993200368,0.0008,37.3,2,3,2,5,9,0.5,0,0,6.224744871391589,2.678869016623521,1.1501652919591057,2.0817801047120423,40.60246378447042,0.3948316457664289,0.9622643623230772,0.0137553200081861,0.2721163299086657,0.8845783666438579,64.30809069635778,209.0486294933588,236.32573141767136,1.663260352566622,0.5010870630702543,-3.074,-2.822,-3.313,-3.024
Thiomethyl_PEG_linker_2-_2-methoxyethoxy_ethanethiol,136.21600000000004,136.055800624,0.5792000000000002,18.46,1,3,6,8,20,1.0,0,0,15.72474487139159,7.428869016623521,1.1770933386187972,7.27,72.1217184776495,0.7314199432875844,0.9949705593109894,0.0095073930326095,0.1001677897548751,0.970472875596083,102.07560287740782,988.9566705530752,1019.046173697167,2.783045081829653,0.1787475962273904,-3.279,-2.87,-3.527,-2.863
Tris_buffer_Tris_base,121.13599999999994,121.073893212,-2.3391999999999995,86.71000000000001,4,4,7,8,19,1.0,0,0,14.671958466891548,6.705151295837279,1.152493715940397,2.9852263467168973,63.38746886532447,0.0696927316497702,0.7796993463547225,0.0037442623328926,0.626154077918541,0.8299663090789456,221.66350412679407,293.81464860723105,354.00792224119505,1.8944349760148516,0.8395932235540855,-3.688,-3.93,-4.001,-3.589
