ligando,MolWt,ExactMolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,NumHeavyAtoms,NumAtoms,FractionCSP3,NumRings,FormalCharge,Chi0n,Chi1n,Kappa1,Kappa2,LabuteASA,Asphericity,Eccentricity,InertialShapeFactor,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex
1-Butanethiol,90.19099999999995,90.05032132,1.7163,0.0,1,1,3,5,15,1.0,0,0,12.408248290463863,5.862372435695795,0.4916188129029124,4.349999999999999,52.719744903903525,0.5846479433929394,0.9862456555791664,0.016468518198382496,0.16528613629466948,0.904700283613982,54.935135797635986,300.68966490867587,332.3638450819523,1.952963094911496,0.2961851744192379
1-Dodecanethiol,202.40700000000024,202.175521832,4.837100000000006,0.0,1,1,11,13,39,1.0,0,0,32.40824829046386,15.862372435695795,1.384472852628555,12.35,126.11880982176126,0.5792845441229384,0.9858366265632473,0.0018200658839408758,0.167708514173837,0.8849369646590651,486.2115006204973,2565.561633295746,2899.146194310197,3.8341073610708274,0.18930953710398526
1-Hexanethiol,118.24499999999992,118.08162144799999,2.4965000000000015,0.0,1,1,5,7,21,1.0,0,0,17.408248290463863,8.362372435695795,0.7156587120960582,6.35,71.06951113336798,0.7377993100359836,0.9952977369040221,0.01147032524849543,0.09686286653682957,0.9449953079741275,82.38609520667977,803.7597502136693,850.5436412554919,2.7099089354898807,0.19787277530850322
11-Mercaptoundecanesulfonic_acid_MUS,268.44399999999985,268.11668662800037,4.395700000000005,60.03,2,2,13,16,40,1.0,0,0,31.541241452319316,15.22474487139159,2.5690221760011185,10.716297452503815,140.09950659921066,0.6387190319678226,0.9902102704709962,0.0010428186791302516,0.13958373921684628,0.8961541537057167,859.357596522093,5517.239213984963,6156.573834055719,4.831573914244436,0.1326952484004227
11-Mercaptoundecanoic_acid_MUA,218.3620000000002,218.134050944,3.5117000000000034,37.3,2,3,11,14,36,0.9090909090909091,0,0,28.72474487139159,13.928869016623521,1.873382934999098,10.898003120124804,123.17641181706044,0.7416643839831054,0.9954261293955888,0.0025881157683204097,0.09553439650992955,0.9591004446773038,370.57864892176906,3720.3579020027796,3879.0075874216914,4.271929817672602,0.14276713828331866
2-Mercaptosuccinic_acid,150.15500000000003,149.998679672,-0.29840000000000005,74.6,3,5,4,9,15,0.5,0,0,10.041241452319316,4.495365597551247,2.4943628247787246,3.341930325442243,65.18471512396627,0.1912276398293744,0.8968077245768434,0.0028168372207865557,0.44242050714145736,0.7856012209392045,278.8947885031987,495.2304037110109,630.3839537303054,2.162605926486685,0.44064797107691994
3-Mercapto-1-propanesulfonic_acid_MPS,156.22800000000007,155.991486116,1.2749,60.03,2,2,5,8,16,1.0,0,0,11.541241452319316,5.224744871391589,2.0309105350495433,3.575937953547972,66.70044168135288,0.5493087519879288,0.982673582636232,0.006007999169000979,0.18534462492576556,0.9555628768391397,159.04843691881408,819.9902317090766,858.1227374816849,2.4248184195022913,0.3038778445019297
3-Mercaptopropionic_acid,106.14599999999996,106.008850432,0.3909000000000001,37.3,2,3,3,6,12,0.6666666666666666,0,0,8.72474487139159,3.928869016623521,1.1549482884095654,3.0274688796680502,49.77734689920266,0.6873676811201163,0.9930176438601599,0.015780845628941706,0.11796592297107157,0.9007693095696083,57.0799138873533,435.8532814193509,483.86781919513174,2.1450441565223173,0.23099999866050783
4-Aminothiophenol,125.19599999999996,125.029920224,1.5574999999999999,26.02,2,2,2,8,15,0.0,1,0,10.855461885963821,5.23040642444569,1.448214249221175,2.092227094578511,63.55816311336705,0.6171243696694259,0.988687013840064,0.009359883226436964,0.1499932953968856,0.8563159161506224,91.48788456376897,522.3068903153979,609.9464934195224,2.2107242668404967,0.03921382827799529
4-Mercaptobenzoic_acid,154.19000000000003,154.008850432,1.6735,37.3,2,3,2,10,16,0.0,1,0,10.72474487139159,5.178869016623521,2.5833595518334085,2.7488332358362486,72.10455687647344,0.6673132009702915,0.9918985089906664,0.006618645642894081,0.12703286134734065,0.8729724802804897,131.89593874356027,906.3916498665859,1038.2820424938923,2.5949568889063594,8.246651581814602e-06
5-Fluorouracil,146.07700000000003,146.012770176,-1.0252000000000001,75.09,2,3,1,10,13,0.0,1,0,7.497136535400732,3.531292363605235,3.5469994646208067,1.9769273239524414,57.65840038460413,0.27972563785426635,0.9163150506550007,0.002368689296444697,0.4004581475549266,0.5995420671828599,253.11131691385071,378.94317570125594,632.0543568891532,2.080110074623116,5.882502663610161e-07
6-Mercaptohexanoic_acid,148.2270000000001,148.055800624,1.5612,37.3,2,3,6,9,21,0.8333333333333334,0,0,16.22474487139159,7.678869016623521,1.3730134479742506,5.947877237851663,77.30199624339932,0.3514005607198205,0.9536885184014725,0.0032535565009161713,0.30079596052674046,0.8410441025377956,258.4999222546052,722.781764548952,859.3862823221817,2.491776410982925,0.37562713668507014
Arginine,174.20400000000012,174.111675688,-1.338429999999999,125.22000000000001,5,4,6,12,26,0.6666666666666666,0,0,19.60535096292756,9.117812142677371,1.7923819188520356,5.363379355687048,90.5393090828573,0.7361387212079524,0.995224871139522,0.004882261630788357,0.0976086874480032,0.9481344925651349,194.19985331921595,1886.3851589145117,1989.5755019005608,3.4179185497009343,0.14549152883525585
Biotin,244.31600000000012,244.088163372,0.7968000000000001,78.43,3,4,5,16,32,0.8,2,0,23.52742035285537,11.717723398623354,2.9091880288387255,4.9476486864612665,121.03449162049432,0.5491280087507184,0.9830376785308997,0.001754102803545011,0.18340371476221373,0.9128088844432012,520.3850553105727,2589.980810556751,2837.3746736005946,3.4888721493670984,0.22815651277999224
Citric_acid,192.12300000000005,192.027002596,-1.2484999999999995,132.13,4,7,6,13,21,0.5,0,0,13.857738033247042,6.3118621784789735,3.623261379453199,3.853986625290123,83.81190794257938,0.21049465419026409,0.9070795425908851,0.0017704177418538716,0.4209592657408918,0.7983194329010593,450.92150515002675,855.1406978551587,1071.176101460556,2.487320115549745,0.3939410168482887
Curcumin,368.38499999999976,368.1259883600005,3.3699000000000026,93.06000000000002,2,6,10,27,47,0.14285714285714285,2,0,32.94948974278318,16.44948974278318,5.986990856843829,9.238837190939822,184.80512297386596,0.7615809687863934,0.9961565907027271,0.0009057678071703331,0.08759022091260811,0.9707587707958147,1071.7523443767745,11878.186601022362,12235.981747849455,5.846728789778548,0.12112301145119742
Cysteamine_2-aminoethanethiol,77.15199999999997,77.029920224,-0.12509999999999988,26.02,2,2,3,4,11,1.0,0,0,8.855461885963821,3.9804064244456896,0.44423822699045384,3.3099999999999983,41.23095313609625,0.4567144996692571,0.9724364126434935,0.02023248191467747,0.23316822975065307,0.8527718914701212,42.14865457764159,154.15130923082168,180.76499797041296,1.563217818895863,0.33838012448943317
D-Galactose,180.1560000000001,180.063388104,-3.2214000000000005,110.38000000000001,5,6,6,12,24,1.0,1,0,17.44948974278318,8.220110468942837,2.411787232595313,3.6489161032347726,85.93584172942023,0.12448368423228069,0.8462742285694842,0.002357987841886391,0.5327475293787145,0.919206002583091,389.82643856540244,672.609036240466,731.728289796134,2.2314732111333577,0.5087152045722942
D-Glucose,180.1560000000001,180.063388104,-3.2214000000000005,110.38000000000001,5,6,6,12,24,1.0,1,0,17.44948974278318,8.220110468942837,2.411787232595313,3.6489161032347726,85.93584172942023,0.22348774768573598,0.9133710804614948,0.002290004204165227,0.4071280749059213,0.824111646065255,359.87342056678347,728.4584269138358,883.9317225910854,2.339608083920114,0.38704503291742737
Dihydrolipoic_acid_DHLA,220.35900000000012,220.059171752,2.8276000000000012,37.3,1,4,6,13,29,0.8888888888888888,1,0,22.132993161855453,10.882993161855453,2.292419389887445,6.59820436720464,110.42113095325561,0.5802065864738182,0.9856385796344477,0.002485909125814176,0.16886855934776182,0.9455755401751357,380.3741377173006,2129.8960690485396,2252.4864260491013,3.2873716157780684,0.2726576528478218
Dithiothreitol_DTT,182.26600000000008,182.00713618,-0.5358999999999999,60.69,3,5,5,10,20,1.0,1,0,14.541241452319316,6.90361388801511,2.2925876311929745,3.824199539737246,82.1318254152651,0.2223068413673601,0.911166700483724,0.0020523552298190874,0.41203791564564013,0.7599367846393188,370.27546381739495,682.9127483651781,898.6441532624351,2.3139471121602764,0.3486784147389652
Doxorubicin_proxy_daunorubicin_aglycone,356.3299999999998,356.0896028520004,0.7021999999999995,124.29000000000002,4,7,5,26,42,0.2631578947368421,4,0,28.357738033247042,14.515986323710905,6.365497260791805,5.55127820312456,170.47116329285117,0.5195424984157235,0.9799171676916113,0.0007452879976415919,0.199404976024297,0.8151498029461165,1093.7379986335443,4471.103639621206,5485.008551142049,3.9376490228106196,0.047610567724234665
Folic_acid,586.5180000000014,586.1771890320008,-1.4904999999999937,288.79,8,13,14,42,68,0.2916666666666667,3,0,45.6601916686383,22.52697666071031,10.876580172039011,13.505065046834043,271.6329019718076,0.5169365746834932,0.9797422752520069,0.000276819578165915,0.2002625129274591,0.9072582828167505,3277.435392495883,14847.913185408486,16365.695928738622,5.422474307301128,0.18131245954182099
Gemcitabine,281.18999999999977,281.0623404600003,-1.1495000000000002,110.60000000000001,3,6,5,19,29,0.5555555555555556,2,0,18.608527367383008,9.140131994101013,5.770704907477396,4.47217001529447,117.9387405085825,0.3837358317502708,0.9603352292945708,0.0012210656002787704,0.27884807221091523,0.8647725317022794,708.2113618669227,2196.3276544323353,2539.774997372926,3.111405745934883,0.17976933219093452
Glutathione_GSH,307.3279999999997,307.08380626400043,-2.206099999999998,158.82,6,8,11,20,37,0.6,0,0,26.199378819746915,12.310502258764837,4.598182993356211,9.15071374245247,143.82392910546153,0.6247059972773082,0.9891312661868846,0.0012136081047458003,0.14703515991602317,0.9434449964841573,777.3885101745998,4988.081086642017,5287.092628855527,4.240483929246642,0.1367537794173905
HEPES,250.36400000000017,250.135113564,1.3711,66.51,1,3,7,16,38,1.0,1,0,29.52742035285537,14.45401322219567,2.5468813179678063,6.1826982557872885,130.60249714014995,0.5747155041546312,0.9853992263709395,0.0017684857355645732,0.1702596977195542,0.907494362491453,513.1476857526044,2735.1078275322307,3013.911645713381,3.5364000621274267,0.21038211297572249
Histidine,155.15700000000007,155.069476528,-0.6359000000000001,92.0,3,4,4,11,20,0.3333333333333333,1,0,14.1581373674276,6.776171356177496,2.071155482694469,3.156503765422208,76.15625907025266,0.5741599718567401,0.9851346343034536,0.005551815732640568,0.17178402805791002,0.9427490230155808,169.80913423925693,931.9108255466808,988.503623759554,2.595348526336026,0.32906497313558136
L-Cysteine,121.16099999999996,121.019749464,-0.6719000000000002,63.32000000000001,3,4,4,7,14,0.6666666666666666,0,0,10.171958466891548,4.546903005373416,1.3868313900093312,2.872924704797209,56.638321360859855,0.17302481387265653,0.8857705335398267,0.004180740897762126,0.46412343391879146,0.778285590151479,186.1597284271027,312.17004682999385,401.0996101948074,1.9265802940362469,0.5089813050557327
L-Homocysteine,149.2150000000001,149.051049592,0.10830000000000006,63.32000000000001,3,4,6,9,20,0.8,0,0,15.171958466891546,7.046903005373416,1.506824018028378,4.6392732499312475,74.9880875903243,0.5051760662557064,0.9784502520996305,0.00452253018343602,0.20648269701398586,0.9013193660144794,199.2953787938451,869.9459425015018,965.1916682410732,2.610961423972435,0.370487356118157
Lipoic_acid_thioctic_acid,220.35900000000012,220.059171752,3.175200000000002,37.3,1,4,6,13,29,0.8888888888888888,1,0,22.132993161855453,10.891411538058257,2.292419389887445,6.59820436720464,109.82109303960529,0.7095392191593317,0.993947373005398,0.003295464979654178,0.10985726965325532,0.9779209721772065,296.7474933627813,2641.5693573709814,2701.209435656023,3.577181024944019,0.21040593799575524
Lysine,146.1900000000001,146.105527688,-0.4727000000000004,89.34,3,4,7,10,24,0.8333333333333334,0,0,18.710923771927643,8.802564558427516,1.3185036207983014,5.19660435670694,80.18798263550777,0.5478104687073937,0.9828253534347828,0.004742892254844353,0.18453813872962407,0.9251872275342942,195.06815205201323,977.9797499836196,1057.0614475407558,2.7617810689128617,0.25520890431921356
Mannose,180.1560000000001,180.063388104,-3.2214000000000005,110.38000000000001,5,6,6,12,24,1.0,1,0,17.44948974278318,8.220110468942837,2.411787232595313,3.6489161032347726,85.93584172942023,0.2431597237851626,0.9173744044926014,0.0018767071783634807,0.398025378565042,0.7177714484911846,382.46320830780485,689.7077066075042,960.9015628266174,2.375401724700458,0.3076058257617874
Mercaptoethanol_2-mercaptoethanol,78.13599999999997,78.013935812,-0.09150000000000003,20.23,2,2,3,4,10,1.0,0,0,7.816496580927726,3.4747448713915894,0.5447959818219784,3.3099999999999983,39.25088268476229,0.7668885793910445,0.9963642547767357,0.05042874794926835,0.08519549168353954,0.9612595064143784,19.06173651944347,215.07329878608317,223.74114102479385,1.7117228120289028,0.36076808954348755
Methionine,149.2150000000001,149.051049592,0.1513999999999997,63.32000000000001,2,4,5,9,20,0.8,0,0,15.171958466891546,7.092778860141485,1.506824018028378,4.6392732499312475,74.27523508448357,0.4577058456083925,0.9725105312798722,0.004096307799557421,0.23285889836925028,0.8793245679411723,214.66271846958804,810.6119349239098,921.8574852535457,2.5543268769836915,0.24155878963050084
Methotrexate,422.4019999999998,422.1662304240005,-2.1779099999999962,220.32999999999996,5,10,10,30,52,0.4375,2,0,36.027198506782845,17.60501819381877,6.852282585019872,9.105778638434312,201.85079184468984,0.6676289625132008,0.9919181325866737,0.000635184897133065,0.1268795422665369,0.9304793379020847,1464.8952487721988,10742.904150064516,11545.559060221714,5.302547048138705,0.13078339968469654
mPEG-thiol_n_3_methyl-capped,180.26900000000015,180.082015372,0.5958000000000001,27.69,1,4,9,11,27,1.0,0,0,21.132993161855453,10.087117307087384,1.7081831852280678,10.23,95.58502993662077,0.574296388551234,0.9853817909107354,0.0027051521343561253,0.17036057684086311,0.9020946829146981,333.47280970185165,1765.8078770751667,1957.4529265262738,3.354383573498432,0.2454617813688341
mPEG-thiol_n_6_methyl-capped,312.42799999999943,312.16065961600077,0.6456000000000004,55.38000000000001,1,7,18,20,48,1.0,0,0,37.357738033247045,18.061862178478975,3.3090797674690733,19.110000000000003,165.9749643135348,0.7624987997736643,0.9962333826767509,0.0010949102316840005,0.08671243994052001,0.9443920821186582,862.5292327994401,9393.874496097904,9947.006835363969,5.686203162432181,0.0886432377931009
PEG-amine_n_3_proxy,177.24400000000017,177.136493468,0.014799999999999924,53.71000000000001,1,4,10,12,31,1.0,0,0,24.671958466891546,11.842778860141484,1.5624733880068136,10.840000000000002,100.78492498180422,0.6032165792476983,0.9877354943095475,0.0026081109293104197,0.1561364572451728,0.8868074716990274,340.0190773072286,1931.2046884910467,2177.7045752569798,3.542639300661968,0.119018197882181
PEG-dithiol_n_3,226.36300000000014,226.069736436,0.8957999999999999,27.69,2,5,12,13,31,1.0,0,0,24.041241452319316,11.449489742783179,2.2981908436031366,12.580000000000002,115.59587558255897,0.17164968116980106,0.8831101506329518,0.0009607777003021517,0.4691657083046938,0.7515545264974332,782.2356058649981,1253.0598463805497,1667.290665150201,2.8597947587391768,0.32538432851092414
PEG-thiol_n_3,166.24200000000013,166.066365308,-0.05829999999999996,38.69,2,4,9,10,24,1.0,0,0,18.632993161855453,8.791241452319316,1.6150300824875579,9.230000000000002,86.17750560270493,0.7368460808850907,0.9951978484530394,0.006143913027722177,0.0978838211066638,0.9708006045406706,158.01014763071765,1567.1266723057904,1614.2621512347207,3.1691936650475427,0.2677691704939773
PEG-thiol_n_4,210.29500000000016,210.092580056,-0.041700000000000015,47.92,2,5,12,13,31,1.0,0,0,24.041241452319316,11.449489742783179,2.150433320558621,12.19,109.64081706167624,0.3131446353055909,0.9401277482885313,0.00106223067906777,0.34082226584825104,0.7027287709242135,661.5594755189512,1364.0449105273312,1941.068826217787,3.0710277469729625,0.1871151703798739
PEG-thiol_n_6,298.40099999999944,298.1450095520007,-0.008499999999999008,66.38000000000001,2,7,18,19,45,1.0,0,0,34.857738033247045,16.765986323710905,3.221242883701897,18.11,156.56743997961894,0.8301436926155756,0.9981780780571748,0.0017594080316854126,0.06033675899553016,0.965215201870956,548.6022483064005,8776.063525141453,9092.338691029821,5.555131727923191,0.08697484699699645
Polyethyleneimine_fragment_ethylenediamine,60.100000000000016,60.06874825599999,-1.0962,52.04,2,2,3,4,12,1.0,0,0,9.894427190999917,4.48606797749979,0.28028928336620645,2.92,37.25596506654744,0.660943645312819,0.991509289587016,0.05066228027563865,0.13003587452180607,0.9369058934876827,18.49316470538341,133.24288443806805,142.21586753186514,1.5638169436474672,0.3258906705365449
PSS_styrene_sulfonate_anion,206.19800000000004,206.001359364,2.199200000000001,49.03,0,1,3,13,20,0.0,1,0,13.632993161855453,6.612372435695795,4.808167282043959,4.613159605665079,106.95704934631651,0.550063768977565,0.9832419862970797,0.002797624981487017,0.18230522862104986,0.8740077114167598,312.41060442354217,1497.758892928533,1713.6678239379344,2.923147319803777,0.046914276382114956
PSS_styrene_sulfonate_monomer,206.19800000000004,206.001359364,2.199200000000001,49.03,0,1,3,13,20,0.0,1,0,13.632993161855453,6.612372435695795,4.808167282043959,4.613159605665079,106.95704934631651,0.550063768977565,0.9832419862970797,0.002797624981487017,0.18230522862104986,0.8740077114167598,312.41060442354217,1497.758892928533,1713.6678239379344,2.923147319803777,0.046914276382114956
PVP_monomer_N-vinyl-2-pyrrolidone,125.17099999999992,125.084063972,0.7948,20.310000000000002,0,2,1,9,20,0.5714285714285714,1,0,15.355461885963821,7.624944538481868,1.1565354701766093,2.6672700037699983,70.60950080058879,0.36689092694990644,0.956368755512589,0.0047879865283044125,0.29216228962564905,0.7788151346251372,162.6602602202688,433.60240852413904,556.7462536958049,2.146097631567669,0.25517263418386504
RGD_peptide_Arg-Gly-Asp,346.34399999999965,346.1600824240005,-3.262729999999996,220.71999999999997,8,8,12,24,46,0.5833333333333334,0,0,33.132771315782925,15.631411396068792,4.814396910061463,10.77257933284937,168.55003371272667,0.21933532045785029,0.9075599731211383,0.00037555694090232386,0.41992248711918084,0.7265712749349363,1934.6501044269223,3347.4301473346127,4607.16004446277,3.7784408933883586,0.2428002495393799
SDS_dodecyl_sulfate_anion,265.3949999999999,265.1473552800003,4.680000000000004,68.93,0,1,12,17,42,1.0,0,0,33.04124145231931,16.120790811898594,2.6557426627037204,11.29007945572376,142.26933553000674,0.7812359714962298,0.9968086997201554,0.0020903617813736015,0.07982741485362736,0.9794708439435911,468.5652276420635,5749.227628161609,5869.728194270491,4.77207494477756,0.17343197863110854
SDS_sodium_dodecyl_sulfate,288.38499999999993,288.1371245600003,4.299200000000004,68.93,0,1,12,18,43,1.0,0,0,34.04124145231931,16.120790811898594,3.567149590383935,14.596021787554912,170.6827351527187,0.7595750980804653,0.9960138094696385,0.0015717858278032047,0.0891991667325358,0.9935920153485074,632.1421136219266,7041.44870034056,7086.861198125406,5.058811499274972,0.18735396623324435
Sodium_citrate_citrate3-,189.09900000000002,189.0035275,-1.631,131.14000000000001,1,4,6,13,18,0.5,0,0,10.857738033247042,5.087117307087384,5.175713671318919,3.853986625290123,79.33698566769422,0.16159491802604364,0.8796475577983507,0.0018434383830031285,0.4756260863949718,0.8251694741657585,447.62519961284653,776.5903955931129,941.1283619988989,2.392785852415252,0.5299365560885201
Tannic_acid_approx,280.1439999999999,279.9855317080001,-0.03060000000000035,151.32,3,9,3,20,24,0.0,3,0,13.174234614174768,6.674234614174768,8.04396899625805,3.63360480734488,111.95634298676681,0.3224036916808666,0.9410213402862755,0.0007753824961679145,0.3383472138585176,0.6803608872247956,877.4519551153998,1764.412314413436,2593.3476593731098,3.056760925199851,0.026464186258289352
TAT_peptide_fragment_YGRKKK_6_aa,808.9830000000023,808.4919216280019,-3.5868300000000115,389.23999999999995,15,14,36,57,121,0.6388888888888888,1,0,91.04079776017426,44.18941566147788,10.01418041343424,28.326712648511602,423.58056352739743,0.4682964896301705,0.9733447239556446,0.00014956091581969853,0.2293470042265863,0.9378101737505501,6270.422781317524,25640.039632813834,27340.330005455748,6.0514909193816795,0.2411899738741485
Thioacetic_acid,76.11999999999998,75.998285748,0.46269999999999994,17.07,1,2,0,4,8,0.5,0,0,5.816496580927726,2.5664965809277263,0.7439876299705358,1.3511258278145688,35.72155977414717,0.3269238846902,0.942781986988193,0.013510655655297696,0.33340984540141383,0.6871323411871646,50.85854889046272,104.81560232995245,152.54063307347988,1.4228605744157956,0.22205942874448995
Thioglycolic_acid_mercaptoacetic_acid,92.11899999999997,91.993200368,0.0008000000000000229,37.3,2,3,2,5,9,0.5,0,0,6.224744871391589,2.678869016623521,1.1501652919591057,2.0817801047120423,40.60246378447042,0.3948316457664289,0.9622643623230771,0.01375532000818612,0.2721163299086657,0.8845783666438579,64.30809069635778,209.0486294933588,236.32573141767136,1.663260352566622,0.5010870630702543
Thiomethyl_PEG_linker_2-_2-methoxyethoxy_ethanethiol,136.21600000000004,136.055800624,0.5792000000000002,18.46,1,3,6,8,20,1.0,0,0,15.72474487139159,7.428869016623521,1.1770933386187972,7.27,72.1217184776495,0.7314199432875844,0.9949705593109894,0.009507393032609517,0.10016778975487516,0.970472875596083,102.07560287740782,988.9566705530751,1019.046173697167,2.783045081829653,0.17874759622739045
Tris_buffer_Tris_base,121.13599999999994,121.073893212,-2.3391999999999995,86.71000000000001,4,4,7,8,19,1.0,0,0,14.671958466891548,6.705151295837279,1.152493715940397,2.9852263467168973,63.387468865324465,0.06969273164977022,0.7796993463547225,0.0037442623328926322,0.626154077918541,0.8299663090789456,221.66350412679407,293.81464860723105,354.00792224119505,1.8944349760148513,0.8395932235540855
